product_id,product_name,category,price,cost,stock
105,Produto 105,Eletrônicos,1567.29,44.93,380
106,Produto 106,Eletrônicos,964.12,1131.13,271
107,Produto 107,Eletrônicos,526.13,1638.06,417
108,Produto 108,Esportes,316.65,955.8,65
109,Produto 109,Esportes,1543.31,1593.1,482
110,Produto 110,Livros,1939.96,96.42,423
111,Produto 111,Beleza,1615.1,716.6,247
112,Produto 112,Casa,1332.8,448.19,155
113,Produto 113,Livros,119.25,1244.55,46
114,Produto 114,Casa,2421.69,1668.35,422
115,Produto 115,Beleza,1999.8,442.05,453
116,Produto 116,Esportes,742.66,1114.86,200
117,Produto 117,Beleza,2450.23,343.18,147
118,Produto 118,Esportes,1510.68,964.54,123
119,Produto 119,Beleza,1462.32,792.97,0
120,Produto 120,Livros,1873.96,1652.63,455
121,Produto 121,Moda,2032.25,1037.63,-10
122,Produto 122,Livros,1646.35,599.36,342
123,Produto 123,Casa,333.32,201.05,127
124,Produto 124,Livros,855.59,263.91,190
125,Produto 125,Eletrônicos,2321.29,389.24,66
126,Produto 126,Casa,573.17,432.64,3
127,Produto 127,Beleza,939.84,1447.24,441
128,Produto 128,Casa,1088.71,957.59,408
129,Produto 129,Moda,1106.92,893.58,302
130,Produto 130,Esportes,1538.15,202.19,293
131,Produto 131,Beleza,2358.54,1463.36,142
132,Produto 132,Casa,613.12,1231.0,190
133,Produto 133,Beleza,316.93,122.49,20
134,Produto 134,Beleza,505.71,1205.66,226
135,Produto 135,Beleza,2219.01,927.67,312
136,Produto 136,Esportes,1619.84,146.28,116
137,Produto 137,Livros,725.48,783.44,436
138,Produto 138,Beleza,2042.63,828.11,301
139,Produto 139,Eletrônicos,2155.5,288.49,499
140,Produto 140,Moda,2118.59,1608.12,141
141,Produto 141,Esportes,2298.53,1446.16,483
142,Produto 142,Casa,641.82,1139.99,459
143,Produto 143,Esportes,1891.28,790.2,400
144,Produto 144,Casa,1159.44,704.71,38
145,Produto 145,Esportes,2107.37,1109.45,392
146,Produto 146,Casa,1825.3,930.87,354
147,Produto 147,Beleza,1944.47,113.37,251
148,Produto 148,Livros,1645.56,875.15,332
149,Produto 149,Casa,455.91,1372.43,206
150,Produto 150,Casa,1369.39,785.03,209
151,Produto 151,Eletrônicos,2461.9,95.91,114
152,Produto 152,Casa,2344.41,1338.38,224
153,Produto 153,Eletrônicos,122.29,348.71,133
154,Produto 154,Moda,424.56,445.59,250
155,Produto 155,Beleza,342.35,286.68,218
156,Produto 156,Eletrônicos,1819.06,566.72,406
157,Produto 157,Livros,2047.2,1288.42,442
158,Produto 158,Beleza,545.58,886.8,90
159,Produto 159,Eletrônicos,1272.04,354.66,353
160,Produto 160,Beleza,2104.15,1493.29,375
161,Produto 161,Beleza,1836.01,1496.25,45
162,Produto 162,Beleza,1362.46,1481.02,37
163,Produto 163,Moda,1482.01,412.04,141
164,Produto 164,Livros,1278.28,771.5,99
165,Produto 165,Esportes,754.41,1674.6,327
166,Produto 166,Esportes,1419.08,1314.25,189
167,Produto 167,Eletrônicos,1726.88,53.97,34
168,Produto 168,Beleza,2185.21,118.33,146
169,Produto 169,Eletrônicos,1596.18,792.97,29
170,Produto 170,Moda,1906.39,1546.4,333
171,Produto 171,Moda,412.78,919.48,83
172,Produto 172,Casa,1161.97,850.3,368
173,Produto 173,Moda,38.19,186.46,280
174,Produto 174,Casa,628.0,1119.27,423
175,Produto 175,Livros,1820.26,1399.0,343
176,Produto 176,Eletrônicos,2479.65,651.67,269
177,Produto 177,Livros,261.46,1320.34,153
178,Produto 178,Moda,1012.71,1639.89,101
179,Produto 179,Livros,2003.18,352.77,214
180,Produto 180,Livros,522.03,893.47,149
181,Produto 181,Livros,1394.39,493.84,431
182,Produto 182,Moda,1836.68,1349.51,82
183,Produto 183,Beleza,1545.72,985.29,109
184,Produto 184,Livros,482.24,1081.71,434
185,Produto 185,Casa,898.13,1358.07,386
186,Produto 186,Moda,1962.72,677.98,425
187,Produto 187,Livros,1392.25,1556.33,274
188,Produto 188,Beleza,28.0,909.88,200
189,Produto 189,Moda,1906.06,275.26,283
190,Produto 190,Esportes,102.75,1185.46,467
191,Produto 191,Beleza,1868.15,1350.2,172
192,Produto 192,Casa,518.16,543.96,326
193,Produto 193,Livros,2395.81,1458.35,205
194,Produto 194,Esportes,929.33,1541.19,62
195,Produto 195,Esportes,827.43,476.52,72
196,Produto 196,Moda,384.99,1672.12,250
197,Produto 197,Esportes,774.43,246.08,123
198,Produto 198,Casa,2193.48,349.81,374
199,Produto 199,Casa,2490.89,319.71,120
200,Produto 200,Eletrônicos,930.25,1520.63,274
